# ICRP Publication 74 (1996) — Conversion Coefficients for use in Radiological
# Protection Against External Radiation.
# Table A.42: Fluence-to-ambient-dose-equivalent conversion coefficients H*(10)
# for neutrons, anteroposterior (AP) geometry.
#
# To update this table: replace the numeric rows with values from the relevant
# ICRP publication and adjust the count in the header row accordingly.
# The loader in topas_scorer.py reads every non-comment, non-header row.
#
# Column 1: Neutron kinetic energy (MeV)
# Column 2: h*(10) conversion coefficient (Sv*mm2 per neutron per mm2 fluence)
#
energy_MeV,H_star_10_Sv_mm2
1.01E-09,1.62657E-09
1.27E-09,1.45172E-09
1.60E-09,1.28987E-09
2.01E-09,1.15165E-09
2.53E-09,1.02377E-09
3.19E-09,9.14628E-10
4.01E-09,8.13519E-10
5.05E-09,7.26952E-10
6.35E-09,6.4646E-10
8.00E-09,5.77136E-10
1.01E-08,5.12707E-10
1.27E-08,4.57227E-10
1.60E-08,4.06323E-10
2.01E-08,3.63547E-10
2.53E-08,3.24463E-10
3.19E-08,2.91856E-10
4.01E-08,2.60691E-10
5.05E-08,2.32547E-10
6.35E-08,2.0648E-10
8.00E-08,1.84186E-10
1.01E-07,1.63637E-10
1.27E-07,1.462E-10
1.60E-07,1.3005E-10
2.01E-07,1.16272E-10
2.53E-07,1.03516E-10
3.19E-07,9.2586E-11
4.01E-07,8.24158E-11
5.05E-07,7.36477E-11
6.35E-07,6.5479E-11
8.00E-07,5.84217E-11
1.01E-06,5.19069E-11
1.27E-06,4.63607E-11
1.60E-06,4.12451E-11
2.01E-06,3.68852E-11
2.53E-06,3.28293E-11
3.19E-06,2.93436E-11
4.01E-06,2.60996E-11
5.05E-06,2.33088E-11
6.35E-06,2.07324E-11
8.00E-06,1.85345E-11
1.01E-05,1.65277E-11
1.27E-05,1.48184E-11
1.60E-05,1.32492E-11
2.01E-05,1.19386E-11
2.53E-05,1.07504E-11
3.19E-05,9.73578E-12
4.01E-05,8.90652E-12
5.05E-05,8.14152E-12
6.35E-05,7.58386E-12
8.00E-05,7.32151E-12
1.01E-04,7.06528E-12
1.27E-04,7.17225E-12
1.60E-04,7.34917E-12
2.01E-04,7.83436E-12
2.53E-04,9.01495E-12
3.19E-04,1.04428E-11
4.01E-04,1.25944E-11
5.05E-04,1.56845E-11
6.35E-04,1.99095E-11
8.00E-04,2.58341E-11
1.01E-03,3.37584E-11
1.27E-03,4.44876E-11
1.60E-03,5.93205E-11
2.01E-03,7.96534E-11
2.53E-03,1.07534E-10
3.19E-03,1.44053E-10
4.01E-03,1.85359E-10
5.05E-03,2.3225E-10
6.35E-03,2.90423E-10
8.00E-03,3.62944E-10
1.01E-02,5.95071E-10
1.27E-02,9.88036E-10
1.60E-02,1.36852E-09
2.01E-02,1.87894E-09
2.53E-02,2.53903E-09
3.19E-02,3.41746E-09
4.01E-02,4.53869E-09
5.05E-02,6.00982E-09
6.35E-02,7.84242E-09
8.00E-02,9.99291E-09
1.01E-01,1.24609E-08
1.27E-01,1.51813E-08
1.60E-01,1.80686E-08
2.01E-01,2.10068E-08
2.53E-01,2.42262E-08
3.19E-01,2.77374E-08
4.01E-01,3.01934E-08
5.05E-01,3.12546E-08
6.35E-01,3.34857E-08
8.00E-01,3.74558E-08
1.01E+00,3.89993E-08
1.27E+00,3.74524E-08
1.60E+00,3.62021E-08
2.01E+00,3.49525E-08
2.53E+00,3.47032E-08
3.19E+00,3.56365E-08
4.01E+00,3.51637E-08
5.05E+00,3.32871E-08
6.35E+00,3.28474E-08
8.00E+00,3.55277E-08
1.01E+01,4.00186E-08
1.27E+01,4.67838E-08
1.60E+01,5.29693E-08
2.01E+01,5.46753E-08
2.53E+01,5.43444E-08
3.19E+01,5.35318E-08
4.01E+01,5.11279E-08
5.05E+01,4.70123E-08
6.35E+01,4.35342E-08
8.00E+01,4.05251E-08
1.01E+02,4.06842E-08
1.27E+02,4.21599E-08
1.60E+02,4.01274E-08
2.01E+02,4.36706E-08
